constituency,S,District,Group,candidate,party,Alliance,votes,rank,name,location,slr
Tiruchirappalli (West),N,Tiruchirappalli,9,Satheesh Kumar,IJK,BJP+,69825,1,Satheesh Kumar,,
Tiruchirappalli (West),N,Tiruchirappalli,9,Manoharan.R,ADMK,ADMK+,60110,2,Manoharan.R,,
Tiruchirappalli (West),N,Tiruchirappalli,9,Joseph Gerald,DMDK,PWF+,51990,3,Joseph Gerald,,
Tiruchirappalli (West),N,Tiruchirappalli,9,Nehru.K.N,DMK,DMK+,37501,4,Nehru.K.N,,
Tiruchirappalli (West),N,Tiruchirappalli,9,Uma Nath.K,PMK,PMK+,25700,5,Uma Nath.K,,
Tiruchirappalli (West),N,Tiruchirappalli,9,Sethu Manoharan,NTK,NTK+,3864,6,Sethu Manoharan,,
Tiruchirappalli (East),N,Tiruchirappalli,9,Vellamandi Natarajan,ADMK,ADMK+,65252,1,Vellamandi Natarajan,,
Tiruchirappalli (East),N,Tiruchirappalli,9,Rajaiyyan.T.,BJP,BJP+,64665,2,Rajaiyyan.T.,,
Tiruchirappalli (East),N,Tiruchirappalli,9,Sridhar.P,PMK,PMK+,48318,3,Sridhar.P,,
Tiruchirappalli (East),N,Tiruchirappalli,9,Jarome Aarokya Raj,INC,DMK+,25894,4,Jarome Aarokya Raj,,
Tiruchirappalli (East),N,Tiruchirappalli,9,Prabhu,NTK,NTK+,23197,5,Prabhu,,
Tiruchirappalli (East),N,Tiruchirappalli,9,Rehaiya Shek Mohmed,MDMK,PWF+,2893,6,Rehaiya Shek Mohmed,,
Thiruverumbur,N,Tiruchirappalli,9,Chitti Babu,BJP,BJP+,63164,1,Chitti Babu,,
Thiruverumbur,N,Tiruchirappalli,9,Anbil Mahesh Poyya Mozhi,DMK,DMK+,62344,2,Anbil Mahesh Poyya Mozhi,,
Thiruverumbur,N,Tiruchirappalli,9,Kalai Selvan.D,ADMK,ADMK+,49054,3,Kalai Selvan.D,,
Thiruverumbur,N,Tiruchirappalli,9,Chola Suran,NTK,NTK+,33002,4,Chola Suran,,
Thiruverumbur,N,Tiruchirappalli,9,Dleep Kumar.P.K,PMK,PMK+,10690,5,Dleep Kumar.P.K,,
Thiruverumbur,N,Tiruchirappalli,9,Senthil Kumar,DMDK,PWF+,832,6,Senthil Kumar,,
Lalgudi,N,Tiruchirappalli,9,Sambath,NTK,NTK+,64754,1,Sambath,,
Lalgudi,N,Tiruchirappalli,9,Selva Kumar,IJK,BJP+,52509,2,Selva Kumar,,
Lalgudi,N,Tiruchirappalli,9,Vijaya Moorthy.M,ADMK,ADMK+,39042,3,Vijaya Moorthy.M,,
Lalgudi,N,Tiruchirappalli,9,Soundara Pandiyan,DMK,DMK+,30325,4,Soundara Pandiyan,,
Lalgudi,N,Tiruchirappalli,9,Jaya Sheelan.M,CPI,PWF+,28760,5,Jaya Sheelan.M,,
Lalgudi,N,Tiruchirappalli,9,Uma Maheshwaran.R,PMK,PMK+,11949,6,Uma Maheshwaran.R,,
Musiri,N,Tiruchirappalli,9,Raya Durai,IJK,BJP+,52479,1,Raya Durai,,
Musiri,N,Tiruchirappalli,9,Aasai Thambi,NTK,NTK+,49469,2,Aasai Thambi,,
Musiri,N,Tiruchirappalli,9,Rajasekaran,TMC,PWF+,37479,3,Rajasekaran,,
Musiri,N,Tiruchirappalli,9,Vijaya Babu,INC,DMK+,21361,4,Vijaya Babu,,
Musiri,N,Tiruchirappalli,9,Selva Rasu.M,ADMK,ADMK+,17005,5,Selva Rasu.M,,
Musiri,N,Tiruchirappalli,9,Manoharan.P,PMK,PMK+,12961,6,Manoharan.P,,
Thuraiyur,S,Tiruchirappalli,9,Aathi Mozhi,VC,PWF+,61638,1,Aathi Mozhi,,
Thuraiyur,S,Tiruchirappalli,9,Mai Vizhi.A,ADMK,ADMK+,60140,2,Mai Vizhi.A,,
Thuraiyur,S,Tiruchirappalli,9,Stalin Kumar,DMK,DMK+,29570,3,Stalin Kumar,,
Thuraiyur,S,Tiruchirappalli,9,Aananthan,IJK,BJP+,26783,4,Aananthan,,
Thuraiyur,S,Tiruchirappalli,9,Sathya,NTK,NTK+,23237,5,Sathya,,
Manachanallur,N,Tiruchirappalli,9,Babu,DMDK,PWF+,68847,1,Babu,,
Manachanallur,N,Tiruchirappalli,9,Mani,NTK,NTK+,62304,2,Mani,,
Manachanallur,N,Tiruchirappalli,9,Sethu Aravind.S,BJP,BJP+,17214,3,Sethu Aravind.S,,
Manachanallur,N,Tiruchirappalli,9,Prince.M,PMK,PMK+,4992,4,Prince.M,,
Rajapalayam,N,Virudhunagar,10,Lakshmanan.P,PMK,PMK+,63337,1,Lakshmanan.P,,
Rajapalayam,N,Virudhunagar,10,Shyam.A.S.S,ADMK,ADMK+,51675,2,Shyam.A.S.S,,
Rajapalayam,N,Virudhunagar,10,Jaya Raj,NTK,NTK+,42665,3,Jaya Raj,,
Rajapalayam,N,Virudhunagar,10,Rama Chandra Raja,BJP,BJP+,10372,4,Rama Chandra Raja,,
Rajapalayam,N,Virudhunagar,10,Guru Swamy.A,CPI,PWF+,3110,5,Guru Swamy.A,,
Srivilliputhur,S,Virudhunagar,10,Vellai Swamy.V,PMK,PMK+,69710,1,Vellai Swamy.V,,
Srivilliputhur,S,Virudhunagar,10,Muthu Kumar,PT,DMK+,49161,2,Muthu Kumar,,
Srivilliputhur,S,Virudhunagar,10,Chandra Prabha.M,ADMK,ADMK+,22868,3,Chandra Prabha.M,,
Srivilliputhur,S,Virudhunagar,10,Rama Swamy,BJP,BJP+,15811,4,Rama Swamy,,
Srivilliputhur,S,Virudhunagar,10,Kalyana Sundaram,NTK,NTK+,4864,5,Kalyana Sundaram,,
Sattur,N,Virudhunagar,10,Nachiyar,NTK,NTK+,58261,1,Nachiyar,,
Sattur,N,Virudhunagar,10,Rahu Raman,MDMK,PWF+,56350,2,Rahu Raman,,
Sattur,N,Virudhunagar,10,Bala Krishnan.M,PMK,PMK+,50992,3,Bala Krishnan.M,,
Sattur,N,Virudhunagar,10,Gnana Pandithan.P,BJP,BJP+,49521,4,Gnana Pandithan.P,,
Sattur,N,Virudhunagar,10,Srinivasan,DMK,DMK+,34367,5,Srinivasan,,
Sattur,N,Virudhunagar,10,Ethir Kottai S.Subramanian,ADMK,ADMK+,25482,6,Ethir Kottai S.Subramanian,,
Sivakasi,N,Virudhunagar,10,Partha Sarathy.G,BJP,BJP+,57644,1,Partha Sarathy.G,,
Sivakasi,N,Virudhunagar,10,Raja Chokkar,INC,DMK+,56196,2,Raja Chokkar,,
Sivakasi,N,Virudhunagar,10,Rajendra Balaji.K.T,ADMK,ADMK+,35226,3,Rajendra Balaji.K.T,,
Sivakasi,N,Virudhunagar,10,Babu,NTK,NTK+,33207,4,Babu,,
Virudhunagar,N,Virudhunagar,10,Syed Kasha Sherif,DMDK,PWF+,43964,1,Syed Kasha Sherif,,
Virudhunagar,N,Virudhunagar,10,Kamatchi.C,BJP,BJP+,40292,2,Kamatchi.C,,
Virudhunagar,N,Virudhunagar,10,Akilan,NTK,NTK+,30766,3,Akilan,,
Virudhunagar,N,Virudhunagar,10,Srinivasan,DMK,DMK+,16044,4,Srinivasan,,
Virudhunagar,N,Virudhunagar,10,Kala Nidhi.K,ADMK,ADMK+,14653,5,Kala Nidhi.K,,
Tiruchuli,N,Virudhunagar,10,Bala Ravi Rajan,BJP,BJP+,69037,1,Bala Ravi Rajan,,
Tiruchuli,N,Virudhunagar,10,Raju,DMDK,PWF+,65551,2,Raju,,
Tiruchuli,N,Virudhunagar,10,Dinesh Babu.K,ADMK,ADMK+,58015,3,Dinesh Babu.K,,
Tiruchuli,N,Virudhunagar,10,Munia Swamy.R,PMK,PMK+,22046,4,Munia Swamy.R,,
Tiruchuli,N,Virudhunagar,10,Palani Swamy,NTK,NTK+,21908,5,Palani Swamy,,
Vilathikulam,N,Thoothukkudi,10,Kathir Vel.P,TMC,PWF+,68274,1,Kathir Vel.P,,
Vilathikulam,N,Thoothukkudi,10,Seenivasa Ramanujam.K,PMK,PMK+,51526,2,Seenivasa Ramanujam.K,,
Vilathikulam,N,Thoothukkudi,10,Uma Maheshwari.K,ADMK,ADMK+,16714,3,Uma Maheshwari.K,,
Vilathikulam,N,Thoothukkudi,10,Beema Raj,DMK,DMK+,10571,4,Beema Raj,,
Vilathikulam,N,Thoothukkudi,10,Rama Moorthy.P,BJP,BJP+,4471,5,Rama Moorthy.P,,
Thoothukkudi,N,Thoothukkudi,10,Chinna Durai,PMK,PMK+,58857,1,Chinna Durai,,
Thoothukkudi,N,Thoothukkudi,10,Geetha Jeevan,DMK,DMK+,54073,2,Geetha Jeevan,,
Thoothukkudi,N,Thoothukkudi,10,Fatima Babu,MDMK,PWF+,50401,3,Fatima Babu,,
Thoothukkudi,N,Thoothukkudi,10,Judikema Bakiya Raj,NTK,NTK+,26479,4,Judikema Bakiya Raj,,
Thoothukkudi,N,Thoothukkudi,10,Chella Pandiyan.C.T,ADMK,ADMK+,16665,5,Chella Pandiyan.C.T,,
Tiruchendur,N,Thoothukkudi,10,Sarath Kumar.R,SMK,ADMK+,42520,1,Sarath Kumar.R,,
Tiruchendur,N,Thoothukkudi,10,Kumara Kurubara Aathithan,PMK,PMK+,38028,2,Kumara Kurubara Aathithan,,
Tiruchendur,N,Thoothukkudi,10,Anitha Radha Krishnan,DMK,DMK+,26236,3,Anitha Radha Krishnan,,
Tiruchendur,N,Thoothukkudi,10,Senthil Kumar,DMDK,PWF+,15105,4,Senthil Kumar,,
Tiruchendur,N,Thoothukkudi,10,Jaya Raman,BJP,BJP+,7489,5,Jaya Raman,,
Tiruchendur,N,Thoothukkudi,10,Shoban Arul Vazhavan.A,NTK,NTK+,1545,6,Shoban Arul Vazhavan.A,,
Ottapidaram,S,Thoothukkudi,10,Krishna Swamy,PT,DMK+,40698,1,Krishna Swamy,,
Ottapidaram,S,Thoothukkudi,10,Sundara Raj.R,ADMK,ADMK+,30840,2,Sundara Raj.R,,
Ottapidaram,S,Thoothukkudi,10,Muthu Krishnan,NTK,NTK+,20059,3,Muthu Krishnan,,
Ottapidaram,S,Thoothukkudi,10,Chandhana Kumar.A,BJP,BJP+,8499,4,Chandhana Kumar.A,,
Kovilpatti,N,Thoothukkudi,10,Ramachandran.G,PMK,PMK+,69445,1,Ramachandran.G,,
Kovilpatti,N,Thoothukkudi,10,Ramesh,MDMK,PWF+,39423,2,Ramesh,,
Kovilpatti,N,Thoothukkudi,10,Subramanaian,DMK,DMK+,27143,3,Subramanaian,,
Kovilpatti,N,Thoothukkudi,10,Kadambur Raju,ADMK,ADMK+,13110,4,Kadambur Raju,,
Kovilpatti,N,Thoothukkudi,10,Arun Kumar,NTK,NTK+,7480,5,Arun Kumar,,
Kovilpatti,N,Thoothukkudi,10,Subhu Raj,IJK,BJP+,2962,6,Subhu Raj,,
Sankarankovil,S,Tirunelveli,10,Sathin Thirumalai Kumar,MDMK,PWF+,48347,1,Sathin Thirumalai Kumar,,
Sankarankovil,S,Tirunelveli,10,Suresh Kumar.S,PMK,PMK+,34706,2,Suresh Kumar.S,,
Sankarankovil,S,Tirunelveli,10,Anbhumani Gneshan,DMK,DMK+,32962,3,Anbhumani Gneshan,,
Sankarankovil,S,Tirunelveli,10,Raja Lakshmi.V.M,ADMK,ADMK+,25176,4,Raja Lakshmi.V.M,,
Sankarankovil,S,Tirunelveli,10,Amutha,NTK,NTK+,22973,5,Amutha,,
Sankarankovil,S,Tirunelveli,10,Gunasekaran,IMKMK,BJP+,18856,6,Gunasekaran,,
Vasudevanallur,S,Tirunelveli,10,Raj Kumar,BJP,BJP+,58589,1,Raj Kumar,,
Vasudevanallur,S,Tirunelveli,10,Samuthra Kani,CPM,PWF+,56299,2,Samuthra Kani,,
Vasudevanallur,S,Tirunelveli,10,Palani Swamy,NTK,NTK+,47690,3,Palani Swamy,,
Vasudevanallur,S,Tirunelveli,10,Manoharan.A,ADMK,ADMK+,6262,4,Manoharan.A,,
Vasudevanallur,S,Tirunelveli,10,Kasi Pandiyan.K,PMK,PMK+,377,5,Kasi Pandiyan.K,,
Kadayanallur,N,Tirunelveli,10,Thirumalai Kumara Swamy,PMK,PMK+,69846,1,Thirumalai Kumara Swamy,,
Kadayanallur,N,Tirunelveli,10,Kothai Mariappan,DMDK,PWF+,68343,2,Kothai Mariappan,,
Kadayanallur,N,Tirunelveli,10,Pasum Ponn,NTK,NTK+,24047,3,Pasum Ponn,,
Kadayanallur,N,Tirunelveli,10,Mohmed Abu Bakker,IUML,DMK+,11914,4,Mohmed Abu Bakker,,
Kadayanallur,N,Tirunelveli,10,Shek Dawood,TMML,ADMK+,11240,5,Shek Dawood,,
Kadayanallur,N,Tirunelveli,10,Kathir Vel,BJP,BJP+,11029,6,Kathir Vel,,
Tenkasi,N,Tirunelveli,10,Palani Nadar,INC,DMK+,64437,1,Palani Nadar,,
Tenkasi,N,Tirunelveli,10,Sita Raman.P,PMK,PMK+,56691,2,Sita Raman.P,,
Tenkasi,N,Tirunelveli,10,Charles.S.T.S,TMC,PWF+,52214,3,Charles.S.T.S,,
Tenkasi,N,Tirunelveli,10,Selvi.B,BJP,BJP+,48003,4,Selvi.B,,
Tenkasi,N,Tirunelveli,10,Muthu Kumar,NTK,NTK+,8707,5,Muthu Kumar,,
Tenkasi,N,Tirunelveli,10,Selva Mohan Das Pandiyan.C,ADMK,ADMK+,5558,6,Selva Mohan Das Pandiyan.C,,
Alangulam,N,Tirunelveli,10,Karthikeyan F.C,ADMK,ADMK+,69769,1,Karthikeyan F.C,,
Alangulam,N,Tirunelveli,10,Anbhu Raj.S.V,BJP,BJP+,56877,2,Anbhu Raj.S.V,,
Alangulam,N,Tirunelveli,10,Bhoongothai,DMK,DMK+,25400,3,Bhoongothai,,
Alangulam,N,Tirunelveli,10,Vasanthi,NTK,NTK+,20122,4,Vasanthi,,
Alangulam,N,Tirunelveli,10,Gunasekaran.P,PMK,PMK+,8420,5,Gunasekaran.P,,
Alangulam,N,Tirunelveli,10,Rajendra Nathan,DMDK,PWF+,2424,6,Rajendra Nathan,,
Tirunelveli,N,Tirunelveli,10,Viyanarasu,NTK,NTK+,64699,1,Viyanarasu,,
Tirunelveli,N,Tirunelveli,10,Nayinar Nagendran,ADMK,ADMK+,59251,2,Nayinar Nagendran,,
Tirunelveli,N,Tirunelveli,10,Mada Swamy,DMDK,PWF+,43046,3,Mada Swamy,,
Tirunelveli,N,Tirunelveli,10,Maha Rajan.A,BJP,BJP+,26721,4,Maha Rajan.A,,
Tirunelveli,N,Tirunelveli,10,Lakshmanan,DMK,DMK+,17297,5,Lakshmanan,,
Palayamkottai,N,Tirunelveli,10,Pattan,NTK,NTK+,68887,1,Pattan,,
Palayamkottai,N,Tirunelveli,10,Maidheen Khan,DMK,DMK+,68586,2,Maidheen Khan,,
Palayamkottai,N,Tirunelveli,10,Nizam,MDMK,PWF+,68431,3,Nizam,,
Palayamkottai,N,Tirunelveli,10,Nirmal Singh,IMKMK,BJP+,18209,4,Nirmal Singh,,
Palayamkottai,N,Tirunelveli,10,Hyder Ali,ADMK,ADMK+,8987,5,Hyder Ali,,
Palayamkottai,N,Tirunelveli,10,Nisthar Ali.S,PMK,PMK+,3558,6,Nisthar Ali.S,,
Nanguneri,N,Tirunelveli,10,Vasantha Kumar,INC,DMK+,53407,1,Vasantha Kumar,,
Nanguneri,N,Tirunelveli,10,Kar Vannan,NTK,NTK+,51407,2,Kar Vannan,,
Nanguneri,N,Tirunelveli,10,Jaya Balan,DMDK,PWF+,44493,3,Jaya Balan,,
Nanguneri,N,Tirunelveli,10,Vijaya Kumar.M,ADMK,ADMK+,30425,4,Vijaya Kumar.M,,
Nanguneri,N,Tirunelveli,10,Thirupathi.S,PMK,PMK+,26923,5,Thirupathi.S,,
Radhapuram,N,Tirunelveli,10,Lobin,NTK,NTK+,68224,1,Lobin,,
Radhapuram,N,Tirunelveli,10,Lawrance.G.T,ADMK,ADMK+,48980,2,Lawrance.G.T,,
Radhapuram,N,Tirunelveli,10,Sivananintha Perumal,DMDK,PWF+,21796,3,Sivananintha Perumal,,
Radhapuram,N,Tirunelveli,10,Kani Amutha,BJP,BJP+,19309,4,Kani Amutha,,
Radhapuram,N,Tirunelveli,10,Guru Nathan.S,PMK,PMK+,11624,5,Guru Nathan.S,,
Radhapuram,N,Tirunelveli,10,Appavu,DMK,DMK+,1586,6,Appavu,,
Aruppukkottai,N,Virudhunagar,10,Ramachandran.K.K.S.S.R,DMK,DMK+,58286,1,Ramachandran.K.K.S.S.R,,
Aruppukkottai,N,Virudhunagar,10,Aravindha Perumal.T,PMK,PMK+,53537,2,Aravindha Perumal.T,,
Aruppukkottai,N,Virudhunagar,10,Senthil Kumar.S,CPM,PWF+,42235,3,Senthil Kumar.S,,
Aruppukkottai,N,Virudhunagar,10,Vetri Vel.R,BJP,BJP+,31475,4,Vetri Vel.R,,
Aruppukkottai,N,Virudhunagar,10,Ravi Mariya,NTK,NTK+,20740,5,Ravi Mariya,,
Srivaikuntam,N,Thoothukkudi,10,Selva Raj,BJP,BJP+,38780,1,Selva Raj,,
Srivaikuntam,N,Thoothukkudi,10,Vijaya Seelan.S.T.R,TMC,PWF+,15417,2,Vijaya Seelan.S.T.R,,
Srivaikuntam,N,Thoothukkudi,10,Subhaiya Pandiyan,NTK,NTK+,15048,3,Subhaiya Pandiyan,,
Srivaikuntam,N,Thoothukkudi,10,Rani Venkatesan,INC,DMK+,6968,4,Rani Venkatesan,,
Ambasamudram,N,Tirunelveli,10,Aavudayappan,DMK,DMK+,51546,1,Aavudayappan,,
Ambasamudram,N,Tirunelveli,10,Thennarasu,NTK,NTK+,43845,2,Thennarasu,,
Ambasamudram,N,Tirunelveli,10,Sashi Kala Murugeshan,IMKMK,BJP+,12999,3,Sashi Kala Murugeshan,,
Ariyalur,N,Ariyalur,11,Jaya Vel,DMDK,PWF+,44336,1,Jaya Vel,,
Ariyalur,N,Ariyalur,11,Baskar,IJK,BJP+,34790,2,Baskar,,
Ariyalur,N,Ariyalur,11,Siva Shankar,DMK,DMK+,30077,3,Siva Shankar,,
Ariyalur,N,Ariyalur,11,Thirumavazhavan.K,PMK,PMK+,1833,4,Thirumavazhavan.K,,
Ariyalur,N,Ariyalur,11,Thamarai S.Rajendran,ADMK,ADMK+,1706,5,Thamarai S.Rajendran,,
Thiruvidaimarudur,S,Thanjavur,11,Madhaiyan.S.R,PMK,PMK+,69228,1,Madhaiyan.S.R,,
Thiruvidaimarudur,S,Thanjavur,11,Sulochana Devi,NTK,NTK+,35282,2,Sulochana Devi,,
Thiruvidaimarudur,S,Thanjavur,11,Shettu.U,ADMK,ADMK+,19875,3,Shettu.U,,
Thiruvidaimarudur,S,Thanjavur,11,Chezhiyan,DMK,DMK+,17791,4,Chezhiyan,,
Thiruvidaimarudur,S,Thanjavur,11,Vasudhevan.S,BJP,BJP+,17139,5,Vasudhevan.S,,
Kumbakonam,N,Thanjavur,11,Mani Senthil.M,NTK,NTK+,67312,1,Mani Senthil.M,,
Kumbakonam,N,Thanjavur,11,Annamalai.PL.,BJP,BJP+,46042,2,Annamalai.PL.,,
Kumbakonam,N,Thanjavur,11,Paramashivam,DMDK,PWF+,45189,3,Paramashivam,,
Kumbakonam,N,Thanjavur,11,Rathna,ADMK,ADMK+,44616,4,Rathna,,
Kumbakonam,N,Thanjavur,11,Venkata Raman.K.R,PMK,PMK+,17733,5,Venkata Raman.K.R,,
Papanasam,N,Thanjavur,11,Gunasekaran.T,BJP,BJP+,56603,1,Gunasekaran.T,,
Papanasam,N,Thanjavur,11,Humayoon,NTK,NTK+,56010,2,Humayoon,,
Papanasam,N,Thanjavur,11,Durai Kannu.R,ADMK,ADMK+,54987,3,Durai Kannu.R,,
Papanasam,N,Thanjavur,11,Jaya Kumar.S.T,TMC,PWF+,44326,4,Jaya Kumar.S.T,,
Papanasam,N,Thanjavur,11,Alaya Mani.K,PMK,PMK+,14601,5,Alaya Mani.K,,
Thiruvaiyaru,N,Thanjavur,11,Subramanaian.M.G.M,ADMK,ADMK+,60422,1,Subramanaian.M.G.M,,
Thiruvaiyaru,N,Thanjavur,11,Seviyar Raj,IJK,BJP+,41986,2,Seviyar Raj,,
Thiruvaiyaru,N,Thanjavur,11,Jeeva Kumar.V,CPI,PWF+,31680,3,Jeeva Kumar.V,,
Thiruvaiyaru,N,Thanjavur,11,Chandra Sekaran,DMK,DMK+,26212,4,Chandra Sekaran,,
Pattukkottai,N,Thanjavur,11,Senthil Kumar,DMDK,PWF+,51599,1,Senthil Kumar,,
Pattukkottai,N,Thanjavur,11,Geetha,NTK,NTK+,48477,2,Geetha,,
Pattukkottai,N,Thanjavur,11,Lakshmi Balu,PMK,PMK+,40971,3,Lakshmi Balu,,
Pattukkottai,N,Thanjavur,11,Sekar.C.V,ADMK,ADMK+,7898,4,Sekar.C.V,,
Pattukkottai,N,Thanjavur,11,Mahendran,INC,DMK+,4092,5,Mahendran,,
Peravurani,N,Thanjavur,11,Govindha Rajan.M,ADMK,ADMK+,67828,1,Govindha Rajan.M,,
Peravurani,N,Thanjavur,11,Kalai Venthan.K,PMK,PMK+,49790,2,Kalai Venthan.K,,
Peravurani,N,Thanjavur,11,Elango.R,BJP,BJP+,47160,3,Elango.R,,
Peravurani,N,Thanjavur,11,Ashok Kumar,DMK,DMK+,36600,4,Ashok Kumar,,
Peravurani,N,Thanjavur,11,Thamayanthi Thirugnanam,CPM,PWF+,30470,5,Thamayanthi Thirugnanam,,
Peravurani,N,Thanjavur,11,Diliban,NTK,NTK+,21140,6,Diliban,,
Viralimalai,N,Pudukkottai,11,Sridhar.KR,NTK,NTK+,59236,1,Sridhar.KR,,
Viralimalai,N,Pudukkottai,11,Kathikeyan,DMDK,PWF+,35790,2,Kathikeyan,,
Viralimalai,N,Pudukkottai,11,Palaniappan,DMK,DMK+,32866,3,Palaniappan,,
Viralimalai,N,Pudukkottai,11,Muthu Kumar,IJK,BJP+,16131,4,Muthu Kumar,,
Viralimalai,N,Pudukkottai,11,Dr.Vijaya Baskar.C,ADMK,ADMK+,5408,5,Dr.Vijaya Baskar.C,,
Pudukkottai,N,Pudukkottai,11,Kumar,IJK,BJP+,56871,1,Kumar,,
Pudukkottai,N,Pudukkottai,11,Arun Mozhi Selvan,NTK,NTK+,47501,2,Arun Mozhi Selvan,,
Pudukkottai,N,Pudukkottai,11,Jagheer Ushain,DMDK,PWF+,41446,3,Jagheer Ushain,,
Pudukkottai,N,Pudukkottai,11,Karthik Thondaiman.V.R,ADMK,ADMK+,34081,4,Karthik Thondaiman.V.R,,
Pudukkottai,N,Pudukkottai,11,Vellai Swamy.C,PMK,PMK+,15327,5,Vellai Swamy.C,,
Pudukkottai,N,Pudukkottai,11,Periyannan Arasu,DMK,DMK+,3322,6,Periyannan Arasu,,
Thirumaiyam,N,Pudukkottai,11,Vadamalai.B,BJP,BJP+,66726,1,Vadamalai.B,,
Thirumaiyam,N,Pudukkottai,11,Raghupathi,DMK,DMK+,42109,2,Raghupathi,,
Thirumaiyam,N,Pudukkottai,11,Suresh.A,PMK,PMK+,32791,3,Suresh.A,,
Thirumaiyam,N,Pudukkottai,11,Chidambaram.P.L.A,TMC,PWF+,13207,4,Chidambaram.P.L.A,,
Thirumaiyam,N,Pudukkottai,11,Vaira Muthu.P.K,ADMK,ADMK+,2670,5,Vaira Muthu.P.K,,
Alangudi,N,Pudukkottai,11,Tamil Selvi.M,NTK,NTK+,59306,1,Tamil Selvi.M,,
Alangudi,N,Pudukkottai,11,Saravanan,IJK,BJP+,35685,2,Saravanan,,
Alangudi,N,Pudukkottai,11,Gnana Kalai Selvan,ADMK,ADMK+,23262,3,Gnana Kalai Selvan,,
Alangudi,N,Pudukkottai,11,Chandrasekaran,MDMK,PWF+,18034,4,Chandrasekaran,,
Alangudi,N,Pudukkottai,11,Dr.Arul Mani.S.,PMK,PMK+,14269,5,Dr.Arul Mani.S.,,
Alangudi,N,Pudukkottai,11,Meyya Nathan.Siva,DMK,DMK+,2181,6,Meyya Nathan.Siva,,
Aranthangi,N,Pudukkottai,11,Sakeela Bhanu,NTK,NTK+,64953,1,Sakeela Bhanu,,
Aranthangi,N,Pudukkottai,11,Selvam.K,PMK,PMK+,44972,2,Selvam.K,,
Aranthangi,N,Pudukkottai,11,Rathna Sabapathi.E.A,ADMK,ADMK+,41618,3,Rathna Sabapathi.E.A,,
Aranthangi,N,Pudukkottai,11,Ramachandran.S.T,INC,DMK+,10467,4,Ramachandran.S.T,,
Jayankondam,N,Ariyalur,11,Kandaswamy,MDMK,PWF+,45567,1,Kandaswamy,,
Jayankondam,N,Ariyalur,11,Krishna Moorthy.S,BJP,BJP+,35768,2,Krishna Moorthy.S,,
Jayankondam,N,Ariyalur,11,Guru.J,PMK,PMK+,31124,3,Guru.J,,
Jayankondam,N,Ariyalur,11,Kumutha Vanan,NTK,NTK+,24246,4,Kumutha Vanan,,
Jayankondam,N,Ariyalur,11,Rajendran.G,INC,DMK+,19034,5,Rajendran.G,,
Orathanadu,N,Thanjavur,11,Kantha Swamy,NTK,NTK+,65071,1,Kantha Swamy,,
Orathanadu,N,Thanjavur,11,Kesavan,IMKMK,BJP+,63076,2,Kesavan,,
Orathanadu,N,Thanjavur,11,Ramanathan,DMDK,PWF+,47510,3,Ramanathan,,
Orathanadu,N,Thanjavur,11,Saravana Ayyappan.M,PMK,PMK+,21413,4,Saravana Ayyappan.M,,
Orathanadu,N,Thanjavur,11,Rama Chandran.N,DMK,DMK+,15779,5,Rama Chandran.N,,
Gandharvakottai,S,Pudukkottai,11,Anbarasan,DMK,DMK+,58556,1,Anbarasan,gandharvakottai/dmk_anbarasan.jpg,
Gandharvakottai,S,Pudukkottai,11,Puratchi Kavi Dhasan,BJP,BJP+,42463,2,Puratchi Kavi Dhasan,gandharvakottai/bjp_kavidhasan.jpg,
Gandharvakottai,S,Pudukkottai,11,M.Chinna Durai,CPM,PWF+,36482,3,M.Chinna Durai,gandharvakottai/cpm_chinnadurai.jpg,
Gandharvakottai,S,Pudukkottai,11,Palani Manikkam.M,PMK,PMK+,32869,4,Palani Manikkam.M,gandharvakottai/pmk_palanimanikkam.jpg,
Gandharvakottai,S,Pudukkottai,11,Mohan Raj.C,NTK,NTK+,1890,5,Mohan Raj.C,gandharvakottai/naam_mookanraj.jpg,
Thanjavur,N,Thanjavur,11,Jaya Prakash,DMDK,PWF+,60836,1,Jaya Prakash,,gandharvakottai/cpm_chinnadurai.jpg
Thanjavur,N,Thanjavur,11,Kunjitha Patham.G,PMK,PMK+,16632,2,Kunjitha Patham.G,,
Thanjavur,N,Thanjavur,11,Nalla Durai,NTK,NTK+,633,3,Nalla Durai,,
Tirupathur,N,Sivaganga,12,Antony Lawrance,IJK,BJP+,68956,1,Antony Lawrance,,
Tirupathur,N,Sivaganga,12,Sathaiah.N,CPM,PWF+,61697,2,Sathaiah.N,,
Tirupathur,N,Sivaganga,12,Periya Karuppan,DMK,DMK+,37116,3,Periya Karuppan,,
Tirupathur,N,Sivaganga,12,Ashokan.K.R,ADMK,ADMK+,26620,4,Ashokan.K.R,,
Tirupathur,N,Sivaganga,12,Aasai Selvam.K,NTK,NTK+,1970,5,Aasai Selvam.K,,
Sivaganga,N,Sivaganga,12,Sathya Nathan,DMK,DMK+,67518,1,Sathya Nathan,,
Sivaganga,N,Sivaganga,12,Kulanthai Swamy,IJK,BJP+,66541,2,Kulanthai Swamy,,
Sivaganga,N,Sivaganga,12,Baskaran.S,ADMK,ADMK+,60151,3,Baskaran.S,,
Sivaganga,N,Sivaganga,12,Kottai Kumar,NTK,NTK+,49826,4,Kottai Kumar,,
Sivaganga,N,Sivaganga,12,Gunasekaran.S,CPM,PWF+,33967,5,Gunasekaran.S,,
